,JOUEUR,SELECTIONS,POINTS
?refer=joueur&GET_CAT=1&PARAM=536,Alain GILLES,160,2286
?refer=joueur&GET_CAT=1&PARAM=397,Maurice GIRARDOT,13,18
?refer=joueur&GET_CAT=1&PARAM=494,Robert GIRAUD,5,9
?refer=joueur&GET_CAT=1&PARAM=377,Léon GLAVIEUX,2,0
?refer=joueur&GET_CAT=1&PARAM=389,René GOALARD,2,0
?refer=joueur&GET_CAT=1&PARAM=771,Rudy GOBERT,89,802
?refer=joueur&GET_CAT=1&PARAM=403,André GOEURIOT,17,105
?refer=joueur&GET_CAT=1&PARAM=530,Jean-Pierre GOISBAULT,30,94
?refer=joueur&GET_CAT=1&PARAM=460,Yves GOMINON,33,49
?refer=joueur&GET_CAT=1&PARAM=721,Joseph GOMIS,58,378
?refer=joueur&GET_CAT=1&PARAM=438,Camille GOMMENDY,5,0
?refer=joueur&GET_CAT=1&PARAM=384,Gabriel GONNET,7,6
?refer=joueur&GET_CAT=1&PARAM=642,Johnny GORDOLON,2,5
?refer=joueur&GET_CAT=1&PARAM=359,Raoul GOUGA,4,0
?refer=joueur&GET_CAT=1&PARAM=745,William GRADIT,14,57
?refer=joueur&GET_CAT=1&PARAM=483,Henri GRANGE,133,1057
?refer=joueur&GET_CAT=1&PARAM=415,Aimé GRAVAS,4,6
?refer=joueur&GET_CAT=1&PARAM=379,Abel GRAVIER,5,17
?refer=joueur&GET_CAT=1&PARAM=649,Christophe GREGOIRE,14,68
?refer=joueur&GET_CAT=1&PARAM=630,Ulysse GRUDA,6,2
?refer=joueur&GET_CAT=1&PARAM=611,Sylvain GRZANKA,23,30
?refer=joueur&GET_CAT=1&PARAM=563,René GUERIN,13,4
?refer=joueur&GET_CAT=1&PARAM=511,Roger GUILLAUME,10,42
?refer=joueur&GET_CAT=1&PARAM=567,Gérard GUILLIN,1,0
?refer=joueur&GET_CAT=1&PARAM=448,Robert GUILLIN,30,114
?refer=joueur&GET_CAT=1&PARAM=416,Fernand GUILLOU,33,177
?refer=joueur&GET_CAT=1&PARAM=333,Pierre GUILLOUX,1,0
?refer=joueur&GET_CAT=1&PARAM=535,Alain HAHN,1,4
?refer=joueur&GET_CAT=1&PARAM=588,Jean-Marie HAMEL,1,0
?refer=joueur&GET_CAT=1&PARAM=689,Bruno HAMM,25,60
?refer=joueur&GET_CAT=1&PARAM=631,Daniel HAQUET,82,609
?refer=joueur&GET_CAT=1&PARAM=602,Philippe HAQUET,32,51
?refer=joueur&GET_CAT=1&PARAM=461,Roger HAUDEGAND,64,457
?refer=joueur&GET_CAT=1&PARAM=575,Jean-Georges HAUGUEL,9,10
?refer=joueur&GET_CAT=1&PARAM=343,Henri HELL,26,91
?refer=joueur&GET_CAT=1&PARAM=360,Charles HEMMERLIN,4,0
?refer=joueur&GET_CAT=1&PARAM=497,Claude HEMMERLIN,4,12
?refer=joueur&GET_CAT=1&PARAM=650,Jean-Louis HERSIN,28,58
?refer=joueur&GET_CAT=1&PARAM=484,André HERVE,10,14
